Brand,Model,AccelSec,TopSpeed_KmH,Range_Km,Efficiency_WhKm,FastCharge_KmH,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,PriceEuro
BMW ,iX3 ,6.8,180,360,206,60.215053763440864,Yes,RWD,Type 2 CCS,SUV,D,5,68040
Audi ,Q4 e-tron ,6.3,180,400,193,58.06451612903226,Yes,AWD,Type 2 CCS,SUV,D,5,55000
Mercedes ,EQC 400 4MATIC,5.1,180,370,216,47.31182795698925,Yes,AWD,Type 2 CCS,SUV,D,5,69484
Hyundai ,Kona Electric 64 kWh,7.9,167,400,160,40.86021505376344,Yes,FWD,Type 2 CCS,SUV,B,5,40795
MG ,ZS EV,8.2,140,220,193,27.956989247311824,Yes,FWD,Type 2 CCS,SUV,B,5,30000
Tesla ,Model Y Long Range Dual Motor,5.1,217,425,171,100.0,Yes,AWD,Type 2 CCS,SUV,D,7,58620
Skoda ,Enyaq iV 50,10.0,160,290,179,24.731182795698924,Yes,RWD,Type 2 CCS,SUV,C,5,35000
Volkswagen ,ID.4 ,7.5,160,420,183,60.215053763440864,Yes,RWD,Type 2 CCS,SUV,C,5,45000
Volvo ,XC40 P8 AWD Recharge,4.9,180,375,200,50.53763440860215,Yes,AWD,Type 2 CCS,SUV,C,5,60437
Peugeot ,e-2008 SUV ,8.5,150,250,180,40.86021505376344,Yes,FWD,Type 2 CCS,SUV,B,5,34361
Audi ,e-tron 50 quattro,6.8,190,280,231,48.38709677419355,Yes,AWD,Type 2 CCS,SUV,E,5,67358
Kia ,e-Niro 64 kWh,7.8,167,370,173,37.634408602150536,Yes,FWD,Type 2 CCS,SUV,C,5,38105
Mazda ,MX-30 ,9.0,150,180,178,25.806451612903224,Yes,FWD,Type 2 CCS,SUV,C,5,32646
Lexus ,UX 300e,7.5,160,270,193,20.43010752688172,Yes,FWD,Type 2 CHAdeMO,SUV,C,5,50000
Mercedes ,EQA ,5.0,200,350,171,47.31182795698925,Yes,AWD,Type 2 CCS,SUV,C,5,45000
Hyundai ,Kona Electric 39 kWh,9.9,155,255,154,22.58064516129032,Yes,FWD,Type 2 CCS,SUV,B,5,33971
Audi ,e-tron Sportback 55 quattro,5.7,200,380,228,65.59139784946237,Yes,AWD,Type 2 CCS,SUV,E,5,81639
Kia ,e-Soul 64 kWh,7.9,167,365,175,36.55913978494624,Yes,FWD,Type 2 CCS,SUV,B,5,36837
Aiways ,U5 ,9.0,150,335,188,37.634408602150536,Yes,FWD,Type 2 CCS,SUV,C,5,36057
Audi ,e-tron 55 quattro,5.7,200,365,237,63.44086021505376,Yes,AWD,Type 2 CCS,SUV,E,5,79445
Opel ,Mokka-e ,8.5,150,255,176,41.935483870967744,Yes,FWD,Type 2 CCS,SUV,B,5,35000
Skoda ,Enyaq iV 80,8.8,160,420,183,60.215053763440864,Yes,RWD,Type 2 CCS,SUV,C,5,40000
Tesla ,Model X Long Range,4.6,250,450,211,52.68817204301075,Yes,AWD,Type 2,SUV,F,7,85990
DS ,3 Crossback E-Tense,8.7,150,250,180,40.86021505376344,Yes,FWD,Type 2 CCS,SUV,B,5,37422
Citroen ,e-C4 ,9.7,150,250,180,40.86021505376344,Yes,FWD,Type 2 CCS,SUV,C,5,40000
Tesla ,Model Y Long Range Performance,3.7,241,410,177,96.7741935483871,Yes,AWD,Type 2 CCS,SUV,D,7,65620
Jaguar ,I-Pace ,4.8,200,365,232,36.55913978494624,Yes,AWD,Type 2 CCS,SUV,E,5,75351
Ford ,Mustang Mach-E ER RWD,7.0,180,450,200,46.236559139784944,Yes,RWD,Type 2 CCS,SUV,D,5,54475
Ford ,Mustang Mach-E ER AWD,6.0,180,430,209,44.086021505376344,Yes,AWD,Type 2 CCS,SUV,D,5,62900
Skoda ,Enyaq iV 80X,7.0,160,400,193,58.06451612903226,Yes,AWD,Type 2 CCS,SUV,C,5,45000
Byton ,M-Byte 95 kWh 4WD,5.5,190,390,244,49.46236559139785,Yes,AWD,Type 2 CCS,SUV,E,5,64000
Kia ,e-Niro 39 kWh,9.8,155,235,167,24.731182795698924,Yes,FWD,Type 2 CCS,SUV,C,5,34400
Audi ,Q4 Sportback e-tron ,6.3,180,410,188,59.13978494623656,Yes,AWD,Type 2 CCS,SUV,D,5,57500
Ford ,Mustang Mach-E SR AWD,6.0,180,340,206,38.70967741935484,Yes,AWD,Type 2 CCS,SUV,D,5,54000
Tesla ,Model X Performance,2.8,250,440,216,51.61290322580645,Yes,AWD,Type 2,SUV,F,7,102990
Ford ,Mustang Mach-E SR RWD,6.6,180,360,194,40.86021505376344,Yes,RWD,Type 2 CCS,SUV,D,5,46900
Audi ,e-tron Sportback 50 quattro,6.8,190,295,219,50.53763440860215,Yes,AWD,Type 2 CCS,SUV,E,5,69551
Skoda ,Enyaq iV vRS,6.2,180,400,193,58.06451612903226,Yes,AWD,Type 2 CCS,SUV,C,5,47500
Skoda ,Enyaq iV 60,9.0,160,320,181,47.31182795698925,Yes,RWD,Type 2 CCS,SUV,C,5,37500
Audi ,e-tron S 55 quattro,4.5,210,320,270,54.83870967741935,Yes,AWD,Type 2 CCS,SUV,E,5,93800
Kia ,e-Soul 64 kWh,7.9,167,365,175,34.40860215053764,Yes,FWD,Type 2 CCS,SUV,B,5,36837
Kia ,e-Soul 39 kWh,9.9,157,230,170,23.655913978494624,Yes,FWD,Type 2 CCS,SUV,B,5,33133
Byton ,M-Byte 72 kWh 2WD,7.5,190,325,222,45.16129032258064,Yes,RWD,Type 2 CCS,SUV,E,5,53500
Audi ,e-tron S Sportback 55 quattro,4.5,210,335,258,58.06451612903226,Yes,AWD,Type 2 CCS,SUV,E,5,96050
Byton ,M-Byte 95 kWh 2WD,7.5,190,400,238,51.61290322580645,Yes,AWD,Type 2 CCS,SUV,E,5,62000
